,Html Form,Attachments,Flash content,Html iFrame,HTML content,URLs,Dots,External Resources,Javascript,Css,IPs in URLs,@ in URLs,Encoding,Phishy
0,False,0,False,False,True,2,1,0,0,0,False,False,quoted-printable,True
1,False,0,False,False,True,11,3,0,0,0,False,False,quoted-printable,True
2,False,0,False,False,True,17,3,0,0,0,False,False,quoted-printable,True
3,False,0,False,False,False,1,4,0,0,0,False,False,quoted-printable,True
4,False,0,False,False,True,0,0,0,0,0,False,False,quoted-printable,True
5,False,0,False,False,True,0,0,0,0,0,False,False,quoted-printable,True
6,False,1,False,False,True,4,3,0,0,0,False,False,quoted-printable,True
7,False,0,False,False,True,1,2,0,0,0,False,False,quoted-printable,True
8,False,0,False,False,False,0,0,0,0,0,False,False,quoted-printable,True
9,False,0,False,False,True,4,5,0,0,0,False,False,7bit,True
10,False,0,False,False,False,10,3,0,0,0,False,False,None,True
11,False,0,False,False,False,1,1,0,0,0,False,False,None,True
12,False,0,False,False,False,1,1,0,0,0,False,False,None,True
13,False,0,False,False,True,7,3,0,0,0,False,False,quoted-printable,True
14,False,0,False,False,True,1,2,0,0,0,False,False,quoted-printable,True
15,False,0,False,False,True,30,5,0,0,1,False,False,quoted-printable,True
16,False,0,False,False,True,3,4,0,0,0,False,False,quoted-printable,True
17,False,0,False,False,True,2,2,0,0,1,False,False,quoted-printable,True
18,False,0,False,False,True,1,2,0,0,0,False,False,quoted-printable,True
19,False,0,False,False,True,1,2,0,0,0,False,False,8bit,True
20,False,0,False,False,True,1,4,0,0,0,False,False,quoted-printable,True
21,False,0,False,False,True,1,4,0,0,0,False,False,quoted-printable,True
22,False,0,False,False,False,9,7,0,0,0,False,False,None,True
23,False,0,False,False,False,1,2,0,0,0,False,False,None,True
24,False,0,False,False,True,2,4,0,0,0,False,False,quoted-printable,True
25,False,0,False,False,False,1,2,0,0,0,False,False,quoted-printable,True
26,False,0,False,False,True,22,8,0,0,0,False,True,quoted-printable,True
27,False,0,False,False,True,22,8,0,0,0,False,True,quoted-printable,True
28,False,0,False,False,True,1,3,0,0,0,False,False,quoted-printable,True
29,False,0,False,False,True,22,8,0,0,0,False,True,quoted-printable,True
30,False,0,False,False,True,2,5,0,0,0,False,False,quoted-printable,True
31,False,0,False,False,True,2,5,0,0,0,False,False,quoted-printable,True
32,False,0,False,False,True,22,8,0,0,0,False,True,quoted-printable,True
33,False,0,False,False,True,1,4,0,0,0,False,False,quoted-printable,True
